# Soil attributes based on EU-SoilHydroGrids (3D soil hydraulic database of Europe) and European Soil Database Derived data (Europe, 1km resolution, soil topological units; ESDD)
gauge_id,sand_perc,sand_perc_5,sand_perc_25,sand_perc_50,sand_perc_75,sand_perc_90,sand_perc_skewness,sand_perc_missing,silt_perc,silt_perc_5,silt_perc_25,silt_perc_50,silt_perc_75,silt_perc_90,silt_perc_skewness,silt_perc_missing,clay_perc,clay_perc_5,clay_perc_25,clay_perc_50,clay_perc_75,clay_perc_90,clay_perc_skewness,clay_perc_missing,organic_perc,organic_perc_5,organic_perc_25,organic_perc_50,organic_perc_75,organic_perc_90,organic_perc_skewness,organic_perc_missing,bulk_dens,bulk_dens_5,bulk_dens_25,bulk_dens_50,bulk_dens_75,bulk_dens_90,bulk_dens_skewness,bulk_dens_missing,tot_avail_water,tot_avail_water_5,tot_avail_water_25,tot_avail_water_50,tot_avail_water_75,tot_avail_water_90,tot_avail_water_skewness,tot_avail_water_missing,root_depth,root_depth_5,root_depth_25,root_depth_50,root_depth_75,root_depth_90,root_depth_skewness,root_depth_missing,coarse_fragm_perc,coarse_fragm_perc_5,coarse_fragm_perc_25,coarse_fragm_perc_50,coarse_fragm_perc_75,coarse_fragm_perc_90,coarse_fragm_perc_skewness,coarse_fragm_perc_missing,porosity,porosity_5,porosity_25,porosity_50,porosity_75,porosity_90,porosity_skewness,porosity_missing,conductivity,conductivity_5,conductivity_25,conductivity_50,conductivity_75,conductivity_90,conductivity_skewness,conductivity_missing
2031,53.12,34.528,40.557,46.142,59.036,67.768,0.575,16.62,29.346,19.407,27.111,31.185,34.588,35.105,-0.316,16.62,17.535,10.917,12.125,14.872,24.54,25.031,0.381,16.62,0.514,0.391,0.473,0.566,0.59,0.692,-0.443,16.62,1.466,1.375,1.38,1.486,1.537,1.547,-0.228,16.62,99.741,93.229,95.475,103.638,105.108,107.212,-0.675,16.62,1.083,0.298,1.03,1.12,1.21,1.282,-0.076,0.0,8.734,2.813,3.911,9.294,13.884,16.159,-0.094,16.62,49.173,47.013,47.93,48.797,50.359,52.265,0.237,12.39,17.074,3.458,7.77,13.161,28.75,68.073,0.182,12.39
2032,54.812,35.081,37.952,43.727,72.792,87.456,0.585,12.47,27.896,8.51,15.914,33.833,35.575,43.972,-0.47,12.47,17.291,4.715,9.723,18.472,24.277,27.387,-0.144,12.47,1.019,0.375,0.448,0.534,1.364,2.185,0.233,12.47,1.459,1.286,1.364,1.417,1.585,1.735,0.282,12.47,79.089,27.41,57.41,80.765,110.384,113.166,-0.054,12.47,0.874,0.038,0.395,1.166,1.242,1.339,-0.557,0.0,10.014,2.81,3.306,9.228,15.778,19.884,0.115,12.47,47.096,39.64,44.773,47.815,50.043,52.224,-0.166,4.41,40.941,2.818,27.186,27.943,54.092,134.594,0.353,4.41
2033,74.695,56.266,69.28,75.512,78.891,85.969,-0.082,28.36,16.676,9.142,12.787,16.43,21.019,30.517,0.035,28.36,8.629,4.582,7.304,9.28,10.184,13.413,-0.204,28.36,0.892,0.424,0.437,0.715,1.249,2.135,0.308,28.36,1.605,1.48,1.559,1.588,1.624,1.715,0.199,28.36,65.678,19.12,44.586,69.773,100.827,110.077,-0.121,28.36,0.658,0.016,0.079,0.558,1.12,1.264,0.168,0.0,9.914,2.778,3.735,5.2,15.261,19.869,0.633,28.36,47.796,39.345,41.401,50.513,52.191,53.799,-0.407,1.09,26.912,26.35,27.257,27.582,28.301,29.25,-0.117,1.09
2034,47.787,38.463,40.524,41.727,49.299,80.599,0.442,0.0,31.739,10.75,31.968,34.708,35.48,35.865,-0.345,0.0,20.474,8.661,18.812,22.458,24.67,27.048,-0.326,0.0,1.521,0.395,0.581,0.634,0.735,1.497,0.171,0.0,1.399,1.302,1.378,1.411,1.431,1.619,-0.059,0.0,99.433,73.199,95.401,95.466,103.521,109.684,0.167,0.0,1.29,1.152,1.183,1.222,1.261,1.292,1.409,0.0,11.969,2.908,6.021,13.322,16.555,16.849,-0.249,0.0,45.082,43.927,44.465,44.976,45.509,46.707,0.121,0.0,65.845,4.964,50.834,69.311,75.351,117.715,-0.115,0.0
2041,62.936,36.827,42.879,70.315,76.984,87.595,-0.402,13.65,23.984,8.393,14.214,21.446,35.985,43.942,0.204,13.65,13.081,4.4,9.078,10.583,19.129,24.144,0.369,13.65,1.087,0.374,0.441,0.851,1.418,2.117,0.148,13.65,1.513,1.29,1.409,1.538,1.589,1.736,-0.174,13.65,69.831,20.801,48.18,70.045,104.736,113.319,-0.007,13.65,0.77,0.034,0.259,0.898,1.222,1.299,-0.238,0.0,10.481,2.687,3.91,9.552,15.82,19.777,0.139,13.65,47.838,38.675,47.445,49.077,50.711,52.664,-0.241,0.42,28.407,3.146,27.19,27.993,28.867,57.963,0.029,0.42
2043,54.45,35.155,37.95,43.692,72.707,87.438,0.572,12.29,27.968,8.503,15.919,34.146,35.276,43.965,-0.494,12.29,17.582,4.754,9.744,18.638,24.418,27.388,-0.129,12.29,0.994,0.373,0.448,0.532,1.352,2.176,0.228,12.29,1.456,1.287,1.364,1.416,1.555,1.734,0.275,12.29,79.994,28.218,57.477,82.088,110.418,113.06,-0.068,12.29,0.887,0.039,0.41,1.17,1.244,1.343,-0.542,0.0,9.988,2.826,3.302,8.912,15.809,19.88,0.157,12.29,46.936,39.72,44.373,47.657,49.89,52.176,-0.168,4.64,44.34,2.839,27.19,27.969,62.667,141.217,0.41,4.64
2044,47.26,27.394,40.501,41.183,50.4,76.633,0.424,1.32,31.944,8.372,30.87,34.533,35.43,47.118,-0.261,1.32,20.795,9.147,18.921,23.748,24.518,25.44,-0.527,1.32,0.653,0.318,0.516,0.581,0.638,0.943,0.052,1.32,1.414,1.359,1.376,1.388,1.419,1.554,0.3,1.32,100.128,82.564,95.413,99.238,108.023,115.38,0.069,1.32,1.272,1.152,1.183,1.222,1.261,1.292,0.3,0.0,9.957,2.947,4.921,11.218,13.873,16.77,-0.244,1.32,46.611,43.019,44.312,46.631,48.557,50.802,-0.008,0.01,50.247,2.968,5.319,50.938,74.884,141.346,-0.014,0.01
2053,74.176,42.555,69.365,76.071,87.434,87.702,-0.146,44.62,16.837,8.298,8.566,14.978,23.263,33.804,0.226,44.62,8.987,4.356,5.778,9.083,10.206,23.805,-0.019,44.62,1.032,0.355,0.442,0.829,1.377,2.533,0.298,44.62,1.604,1.313,1.565,1.59,1.734,1.737,0.121,44.62,60.501,17.173,42.867,67.529,72.308,105.103,-0.232,44.62,0.483,0.011,0.054,0.165,1.046,1.249,0.554,0.0,9.764,2.754,3.723,9.651,15.416,20.002,0.016,44.62,44.797,21.817,39.785,48.291,50.006,52.222,-0.406,1.94,33.922,26.593,27.442,28.836,31.381,79.038,0.3,1.94
2056,75.199,53.906,68.806,74.843,80.586,86.333,0.035,44.46,15.969,8.735,10.754,16.198,19.334,30.465,-0.033,44.46,8.833,4.468,6.339,9.445,10.872,14.516,-0.157,44.46,0.777,0.378,0.432,0.656,0.881,1.391,0.25,44.46,1.605,1.42,1.542,1.587,1.647,1.719,0.178,44.46,72.328,22.561,68.624,70.618,102.152,109.06,0.057,44.46,0.587,0.011,0.054,0.198,1.118,1.264,0.627,0.0,8.534,2.711,3.718,4.764,12.076,19.264,0.573,44.46,47.382,39.124,40.837,50.88,52.246,53.771,-0.499,3.08,26.78,26.353,27.263,27.599,29.436,31.983,-0.149,3.08
2063,53.13,36.701,40.563,43.402,72.159,78.598,0.571,12.96,28.632,10.853,16.371,34.444,35.315,43.4,-0.525,12.96,18.238,7.034,12.413,19.758,24.336,27.098,-0.213,12.96,1.699,0.383,0.516,0.625,0.894,1.718,0.187,12.96,1.408,1.253,1.374,1.397,1.516,1.628,0.049,12.96,96.826,47.968,85.94,96.816,107.954,114.389,0.0,12.96,1.058,0.038,1.131,1.206,1.263,1.385,-0.315,0.0,9.28,2.741,4.769,8.628,13.849,16.85,0.121,12.96,46.573,43.241,44.706,46.442,48.796,51.1,0.039,3.95,50.116,2.783,27.432,50.045,74.818,126.049,0.002,3.95
