basin_id,NSE_training,dd,f_thr,su_max,beta,perc,kf,ki,kb,NSE_testing
27080,0.86,1.1815674,27.963388,195.8644,2.4637039,0.83271396,1.4291726,3.9459376,54.199215,0.79
28015,0.24,1.3350699,59.635406,633.34784,5.9996033,0.364758,17.810768,7.836205,997.2465,0.05
28018,0.77,2.5722015,29.218542,319.09305,5.9935765,0.731722,3.5726943,4.298673,128.89687,0.75
28024,0.77,5.9475446,43.659943,282.8453,5.9969773,0.92189044,9.312466,4.107151,971.8692,0.71
28067,0.8,2.3083575,49.150833,482.5305,5.977897,0.7559877,4.2996874,6.2097907,997.0257,0.71
28080,0.7,8.952873,57.34118,51.003704,1.0044607,0.4903827,16.792055,2.2796655,95.88905,0.67
28085,0.84,5.013186,58.481434,531.3264,5.995245,0.7328193,19.988016,6.33768,998.4366,0.77
33022,0.78,8.401253,45.170036,397.41492,5.9926887,0.50912076,9.496946,5.1787114,538.0946,0.72
33034,0.8,7.3338375,35.624485,523.171,5.9956083,0.5879258,4.3502617,13.583183,997.3932,0.7
33039,0.82,9.959889,42.741745,358.84033,5.9886293,0.86444825,8.039108,7.186591,906.329,0.74
36006,0.68,9.657243,46.69618,317.13046,5.9986577,0.6532685,5.068134,5.9603043,996.9575,0.68
38001,0.58,7.6559615,41.656666,672.85504,5.998342,0.48084,3.5281384,4.308277,999.10736,0.5
39002,0.9,9.967251,40.69758,375.52722,5.9989147,0.8551498,19.868856,11.859786,998.50653,0.85
39008,0.89,5.800148,37.623016,407.57785,5.9986367,0.83852226,9.346636,13.536364,997.5077,0.85
39010,0.46,9.5369835,55.6406,697.2814,5.9999614,0.2855357,3.4726672,18.503078,999.74365,0.07
39016,0.84,9.294413,47.485725,644.8088,5.998936,0.6783046,16.722588,29.476305,994.8275,0.72
39021,0.82,9.849868,47.921406,420.34256,5.998964,0.72035635,7.300956,9.7446785,999.41235,0.73
39034,0.92,7.3786488,57.15947,350.30374,5.995963,0.82663393,5.860984,11.616561,996.97687,0.84
40003,0.75,9.804605,36.37874,382.83615,5.996981,0.8128349,15.000914,3.912096,998.6997,0.5
42004,0.8,0.008510417,43.487427,573.8466,5.94464,0.5083274,3.5201528,44.046875,992.1301,0.68
43007,0.85,4.049282,55.732735,459.17953,5.9699435,0.59767145,12.707507,6.040238,45.11335,0.76
43008,0.73,6.016794,56.17109,698.9484,5.99942,0.70163393,3.486709,28.298365,997.12537,0.47
43009,0.75,1.5459396,35.53549,316.4821,5.955779,0.9042567,13.453461,3.7029388,967.9627,0.71
44001,0.89,1.7668486,59.45563,656.32056,5.99358,0.6433706,9.0205345,21.875082,985.9813,0.88
