basin_id,NSE
34011,0.85
34012,0.829
35008,0.837
36003,0.843
36006,0.863
36011,0.845
36012,0.573
37001,0.916
37003,0.846
37005,0.892
37009,0.791
37010,0.859
37011,0.855
37018,0.809
37019,0.803
37020,0.893
37031,0.699
37033,0.812
38003,0.814
38004,0.811
38012,0.577
38018,0.86
38021,0.78
38026,0.888
38029,0.793
38030,0.801
39001,0.946
39002,0.908
39004,0.597
39005,0.791
39006,0.87
39007,0.911
39008,0.865
39010,0.856
39011,0.881
39012,0.748
39014,0.745
39016,0.93
39020,0.912
39021,0.881
39022,0.893
39023,0.859
39025,0.877
39027,0.658
39028,0.812
39034,0.926
39036,0.423
39037,0.873
39042,0.872
39049,0.849
39052,0.846
39056,0.776
39061,0.786
39069,0.851
39072,0.943
39078,0.704
39081,0.828
39087,0.861
39088,0.83
39095,0.794
39101,0.888
39105,0.863
39141,0.9
39142,0.716
39143,0.742
39144,0.823
40003,0.875
40004,0.808
40005,0.89
40006,0.542
40009,0.769
40010,0.868
40011,0.918
40016,0.759
40017,0.777
40018,0.699
40020,0.792
40021,0.711
40033,0.812
41001,0.69
41003,0.813
41004,-0.045
41005,0.86
41006,0.791
41009,0.815
41011,0.852
41013,0.791
41014,0.862
41016,0.804
41019,0.307
41020,0.836
41022,0.822
41025,0.879
41027,0.756
41029,0.85
42001,0.81
42006,0.92
42008,0.837
42010,0.873
42011,0.843
42016,0.874
42017,0.78
43005,0.933
43006,0.925
43007,0.915
43008,0.925
43009,0.899
43018,0.961
43021,0.89
44002,0.953
44006,0.943
44009,0.894
44011,0.567
45001,0.946
45004,0.836
45005,0.86
45009,0.944
45012,0.879
46003,0.902
46005,0.89
46008,0.913
47001,0.945
47004,0.944
47008,0.897
47009,0.95
47014,0.876
48003,0.913
48005,0.932
49001,0.938
49002,0.963
50001,0.94
50002,0.919
50006,0.942
50011,0.91
51001,0.901
52004,0.847
52005,0.911
52007,0.826
52009,0.883
52010,0.881
52011,0.865
52015,0.861
52016,0.922
53006,0.91
53007,0.91
53009,0.946
53013,0.877
53017,0.9
53018,0.958
53028,0.951
54001,0.925
54002,0.917
54003,0.598
54008,0.969
54012,0.856
54015,0.552
54018,0.889
54019,0.884
54020,0.898
54022,0.882
54024,0.864
54025,0.929
54027,0.919
54029,0.953
54032,0.936
54034,0.834
54036,0.806
54038,0.942
54044,0.884
54049,0.892
54052,0.215
54057,0.945
54060,0.575
54063,0.678
54080,0.818
54095,0.947
55002,0.947
55007,0.927
55008,0.864
55013,0.922
55014,0.94
55016,0.907
55018,0.855
55021,0.95
55023,0.942
55025,0.871
55029,0.867
55032,0.8
56001,0.935
56002,0.946
56007,0.904
57004,0.916
57005,0.933
57006,0.921
57007,0.9
57008,0.924
57009,0.886
58001,0.885
58006,0.926
58008,0.883
58009,0.836
58010,0.849
58012,0.907
59001,0.873
60002,0.886
60003,0.909
60005,0.864
60010,0.947
60012,0.845
61001,0.891
61002,0.891
62001,0.961
63001,0.887
63004,0.86
64002,0.878
64006,0.918
65001,0.872
65004,0.896
65005,0.613
65006,0.88
65007,0.834
65008,0.779
66001,0.957
66011,0.888
67001,0.921
67006,0.925
67008,0.903
67010,0.86
67018,0.881
67033,0.938
68003,0.925
68004,0.805
68005,0.883
68020,0.758
69002,0.878
69012,0.892
69015,0.819
69017,0.919
69023,0.907
69027,0.891
69030,0.856
69032,0.856
70002,0.869
71001,0.893
71004,0.889
71006,0.902
71008,0.891
72004,0.892
72005,0.881
72007,0.828
72009,0.871
72015,0.876
73005,0.9
73009,0.892
73010,0.968
73014,0.845
74001,0.878
74007,0.845
75003,0.959
75004,0.946
75017,0.898
76003,0.916
76005,0.886
76008,0.847
77002,0.892
77003,0.851
77004,0.874
78003,0.922
78006,0.912
79002,0.905
79003,0.839
79004,0.894
79005,0.901
79006,0.903
80001,0.901
80003,0.859
80004,0.765
80005,0.857
80006,0.945
81002,0.892
81003,0.834
81004,0.934
81006,0.841
81007,0.824
82001,0.843
82003,0.866
83003,0.781
83004,0.812
83006,0.843
83007,0.874
83009,0.814
83010,0.884
83013,0.853
84001,0.907
84004,0.922
84005,0.937
84008,0.813
84009,0.834
84012,0.86
84013,0.935
84014,0.876
84016,0.823
84017,0.876
84019,0.841
84020,0.856
84022,0.825
84026,0.866
84030,0.882
85001,0.923
85002,0.864
85003,0.857
85004,0.827
89002,0.835
89003,0.841
90003,0.835
92001,0.935
93001,0.867
94001,0.958
95001,0.869
96001,0.856
96004,0.817
97002,0.86
101002,0.772
101005,0.807
102001,0.79
106001,0.857
