# Supplementary geological attributes as rock type percentages based on the map of main lithologies across Switzerland (Swiss Geological Map by Swisstopo) and the map of molasse layers on the Swiss plateau (GeoMol by Swisstopo)
gauge_id,osm,omm,usm,api,amk,sus,dup,sal,oos,mpk,aap,fju,hes,mps,ups,ops,tie,ukd,uod,ood,qua
2132,99.82,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2135,0.26,7.53,4.64,27.78,0.0,5.04,0.0,0.0,3.37,0.0,0.0,0.0,24.45,9.26,9.35,1.15,0.0,0.0,0.0,0.0,7.19
2137,92.77,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02
2139,0.0,0.0,29.89,0.0,0.0,6.13,0.0,0.0,0.0,0.0,0.0,0.0,20.97,0.0,0.59,0.0,0.0,0.0,0.0,0.0,42.42
2141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.03,1.49,0.0,0.0,0.0,19.01,78.98,0.14
2143,31.11,3.1,10.14,3.26,3.49,2.37,0.0,0.0,2.03,1.62,1.64,0.0,5.44,1.82,11.06,0.0,0.18,1.07,1.55,11.78,8.35
2150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53,0.0,0.0,0.0,0.0,6.38,58.98,0.0,0.0,0.0,0.72,28.34,0.05
2151,0.0,0.0,0.0,0.0,0.0,15.56,0.0,0.0,18.99,0.0,0.0,0.0,11.9,29.04,21.71,2.76,0.0,0.0,0.0,0.0,0.04
2152,0.0,0.19,5.76,30.92,6.53,4.69,0.0,0.0,0.01,0.0,0.0,0.0,36.99,2.03,0.0,4.94,0.0,0.0,0.0,0.0,7.95
2154,0.0,14.29,27.54,1.62,0.0,0.18,0.0,0.0,0.0,0.0,0.0,40.09,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,15.97
2155,23.16,42.17,23.89,0.0,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0,0.41,0.0,0.0,0.0,0.0,2.7
2157,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.02
2159,0.24,30.44,20.75,2.27,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.11,0.0,11.63,0.0,0.0,0.0,0.0,21.15
2160,0.0,0.0,0.3,0.01,0.0,5.34,0.0,0.0,9.03,0.0,0.0,0.0,9.91,42.77,22.36,9.79,0.0,0.0,0.0,0.0,0.49
2161,0.0,0.0,0.0,99.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
2167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.05
2168,77.46,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.81
2170,0.0,0.0,16.4,60.14,0.0,4.06,0.0,0.0,1.25,0.0,0.0,0.68,0.0,13.21,0.1,4.14,0.0,0.0,0.0,0.0,0.03
2174,0.0,0.18,13.89,27.93,3.87,2.52,3.05,0.0,4.31,13.06,0.0,3.67,3.2,11.28,2.45,2.34,0.0,0.0,0.0,0.0,8.25
2176,18.74,2.54,30.24,0.0,0.0,9.84,0.0,0.0,0.5,0.0,0.0,0.0,16.95,0.43,0.0,17.04,0.0,0.0,0.0,0.24,3.47
2179,0.93,52.13,7.55,0.01,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81,0.0,24.56,0.0,0.0,0.0,0.0,0.13
2181,43.98,5.18,37.08,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,10.86,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.04
2185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,10.63,52.91,0.0,0.0,0.0,5.2,15.36,0.3
2187,0.0,0.0,0.0,0.0,0.0,16.73,0.0,0.0,0.0,0.0,0.0,0.0,50.14,0.0,2.86,0.0,0.0,0.0,0.0,0.0,30.27
2199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
2200,0.0,0.0,0.0,64.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
