# Supplementary soil attributes based on ISRIC-World Soil Information product SoilGrid (global coverage)
gauge_id,sg_sand_perc,sg_sand_perc_5,sg_sand_perc_25,sg_sand_perc_50,sg_sand_perc_75,sg_sand_perc_90,sg_sand_perc_skewness,sg_sand_perc_missing,sg_silt_perc,sg_silt_perc_5,sg_silt_perc_25,sg_silt_perc_50,sg_silt_perc_75,sg_silt_perc_90,sg_silt_perc_skewness,sg_silt_perc_missing,sg_clay_perc,sg_clay_perc_5,sg_clay_perc_25,sg_clay_perc_50,sg_clay_perc_75,sg_clay_perc_90,sg_clay_perc_skewness,sg_clay_perc_missing,sg_organic_perc,sg_organic_perc_5,sg_organic_perc_25,sg_organic_perc_50,sg_organic_perc_75,sg_organic_perc_90,sg_organic_perc_skewness,sg_organic_perc_missing,sg_bulk_dens,sg_bulk_dens_5,sg_bulk_dens_25,sg_bulk_dens_50,sg_bulk_dens_75,sg_bulk_dens_90,sg_bulk_dens_skewness,sg_bulk_dens_missing,sg_tot_avail_water,sg_tot_avail_water_5,sg_tot_avail_water_25,sg_tot_avail_water_50,sg_tot_avail_water_75,sg_tot_avail_water_90,sg_tot_avail_water_skewness,sg_tot_avail_water_missing,sg_root_depth,sg_root_depth_5,sg_root_depth_25,sg_root_depth_50,sg_root_depth_75,sg_root_depth_90,sg_root_depth_skewness,sg_root_depth_missing,sg_soil_depth,sg_soil_depth_5,sg_soil_depth_25,sg_soil_depth_50,sg_soil_depth_75,sg_soil_depth_90,sg_soil_depth_skewness,sg_soil_depth_missing
2031,40.461,32.765,36.67,40.571,44.345,47.942,-0.023,15.56,36.738,32.882,34.67,36.653,38.761,40.683,0.034,15.56,22.817,18.244,20.68,22.67,25.288,27.497,0.05,15.56,3.671,1.935,2.702,3.294,3.982,7.277,0.22,15.56,1.306,1.182,1.226,1.324,1.377,1.431,-0.209,15.56,148.787,129.937,139.69,147.547,159.44,169.818,0.093,15.56,18.114,14.416,16.889,18.731,19.508,19.963,-0.343,15.56,149.558,80.985,112.936,150.411,186.875,221.185,-0.019,15.56
2032,47.017,36.093,40.961,47.014,52.712,58.706,0.001,5.46,35.183,30.441,33.176,35.205,37.182,39.824,-0.008,5.46,17.795,8.956,13.294,18.048,22.338,26.039,-0.046,5.46,3.026,1.033,1.876,2.877,3.851,5.478,0.095,5.46,1.351,1.161,1.275,1.351,1.441,1.516,-0.005,5.46,152.141,122.934,132.528,150.352,168.666,190.823,0.081,5.46,15.003,6.09,10.227,16.652,19.915,19.983,-0.322,5.46,145.081,2.443,75.302,158.328,207.632,269.092,-0.156,5.46
2033,54.24,46.102,50.771,54.451,57.706,62.099,-0.043,4.48,33.72,29.343,31.919,33.618,35.397,38.405,0.037,4.48,12.035,6.779,9.434,11.59,14.342,18.611,0.124,4.48,4.225,1.886,3.218,4.069,4.91,7.519,0.089,4.48,1.264,1.097,1.203,1.277,1.337,1.391,-0.14,4.48,171.34,144.821,157.534,169.833,184.107,203.953,0.082,4.48,10.145,4.61,6.927,8.874,13.377,18.089,0.296,4.48,83.979,0.062,20.39,65.171,142.46,213.196,0.262,4.48
2034,38.357,33.918,36.43,38.19,40.039,43.34,0.057,0.04,37.701,34.02,36.501,37.799,39.014,40.858,-0.046,0.04,23.945,20.916,22.643,23.846,25.258,27.074,0.052,0.04,2.247,1.157,1.704,2.184,2.691,3.561,0.082,0.04,1.466,1.4,1.448,1.477,1.491,1.508,-0.295,0.04,129.594,121.911,125.973,129.596,132.477,138.188,0.0,0.04,19.825,18.924,19.901,19.934,19.967,19.993,-0.234,0.04,195.166,148.388,173.742,192.27,213.73,253.665,0.09,0.04
2041,51.282,41.366,47.623,51.518,55.314,59.972,-0.042,1.82,34.061,29.816,32.284,34.006,35.774,38.507,0.021,1.82,14.654,8.151,11.223,14.236,17.559,22.89,0.092,1.82,3.584,1.448,2.668,3.441,4.268,6.009,0.091,1.82,1.291,1.134,1.236,1.299,1.352,1.43,-0.087,1.82,164.679,135.4,151.58,163.731,177.117,196.599,0.051,1.82,12.013,5.526,7.825,11.609,15.983,19.912,0.087,1.82,108.098,0.069,30.712,101.094,172.96,248.172,0.084,1.82
2043,46.723,35.868,40.708,46.533,52.432,58.581,0.026,5.76,35.204,30.465,33.211,35.219,37.183,39.855,-0.005,5.76,18.069,9.041,13.569,18.574,22.555,26.301,-0.091,5.76,2.954,0.988,1.776,2.793,3.799,5.431,0.102,5.76,1.358,1.164,1.279,1.359,1.454,1.52,-0.012,5.76,150.888,121.918,131.515,148.337,167.738,190.32,0.115,5.76,15.237,6.143,10.618,17.087,19.923,19.985,-0.362,5.76,147.538,3.134,80.962,161.283,208.792,269.859,-0.163,5.76
2044,39.589,33.887,37.195,39.384,41.747,46.064,0.054,0.09,36.791,33.417,35.404,36.713,38.094,40.276,0.036,0.09,23.607,18.06,22.111,23.847,25.613,27.79,-0.081,0.09,2.339,0.986,1.524,2.188,2.917,4.271,0.139,0.09,1.409,1.21,1.355,1.425,1.486,1.528,-0.165,0.09,137.028,120.363,126.757,132.652,142.734,171.109,0.284,0.09,19.163,15.918,18.908,19.912,19.956,19.991,-0.462,0.09,189.572,107.294,156.689,190.266,222.023,267.996,-0.013,0.09
2053,55.677,47.644,52.671,55.789,58.767,63.254,-0.024,19.54,32.225,27.84,30.554,32.286,33.962,36.302,-0.023,19.54,12.089,7.452,9.605,11.438,14.149,18.538,0.191,19.54,3.569,1.453,2.643,3.317,4.13,6.397,0.153,19.54,1.348,1.233,1.307,1.356,1.396,1.44,-0.118,19.54,161.217,140.146,151.97,160.745,170.057,183.548,0.035,19.54,11.333,5.548,7.829,10.456,15.087,18.78,0.206,19.54,102.82,5.38,35.452,89.04,153.933,253.108,0.177,19.54
2056,55.462,45.388,51.784,55.72,59.391,64.435,-0.045,11.4,32.793,27.641,30.586,32.77,34.96,37.987,0.007,11.4,11.738,6.311,8.946,11.161,14.186,18.869,0.149,11.4,4.51,2.07,3.353,4.2,5.201,7.924,0.157,11.4,1.265,1.109,1.212,1.273,1.324,1.401,-0.092,11.4,171.335,142.346,159.764,170.876,183.122,200.592,0.026,11.4,9.611,4.355,6.466,8.341,12.797,17.541,0.3,11.4,85.004,0.727,29.548,67.349,134.697,209.249,0.262,11.4
2063,42.845,34.11,38.092,41.526,46.715,55.551,0.198,6.98,35.825,30.971,33.873,35.864,37.756,40.633,-0.013,6.98,21.324,11.895,18.771,22.274,24.553,27.91,-0.197,6.98,2.652,1.033,1.671,2.445,3.269,5.01,0.148,6.98,1.407,1.252,1.342,1.418,1.487,1.517,-0.124,6.98,139.46,121.977,128.389,134.696,147.671,171.126,0.308,6.98,17.814,8.379,17.096,19.835,19.949,19.99,-0.551,6.98,165.227,52.218,125.162,167.54,206.872,266.168,-0.037,6.98
2066,58.045,50.803,55.364,58.018,60.703,65.409,0.006,11.28,32.365,27.547,30.616,32.524,34.206,36.659,-0.058,11.28,9.571,5.5,7.659,9.213,11.008,15.027,0.127,11.28,3.497,1.396,2.656,3.32,4.037,6.3,0.115,11.28,1.288,1.167,1.234,1.293,1.345,1.393,-0.068,11.28,171.55,152.851,162.841,170.68,179.713,191.909,0.072,11.28,9.078,5.858,7.378,8.539,10.246,14.39,0.215,11.28,73.095,0.087,27.583,62.126,116.269,170.263,0.202,11.28
2067,56.509,49.165,53.858,56.745,59.369,63.083,-0.056,4.69,32.497,28.237,30.696,32.414,34.199,37.038,0.031,4.69,10.984,6.685,8.963,10.697,12.871,16.011,0.1,4.69,3.213,1.151,2.343,3.023,3.713,6.023,0.118,4.69,1.305,1.185,1.264,1.311,1.352,1.406,-0.09,4.69,168.646,148.37,159.807,168.266,176.708,190.608,0.029,4.69,9.08,5.137,6.87,8.275,10.775,15.419,0.254,4.69,72.756,0.059,21.105,58.536,115.393,185.767,0.232,4.69
2068,54.118,47.588,51.56,54.238,56.773,60.186,-0.031,0.59,33.262,29.606,31.734,33.179,34.671,37.098,0.035,0.59,12.611,7.989,10.55,12.405,14.494,17.915,0.068,0.59,3.962,1.72,3.056,3.796,4.591,6.493,0.1,0.59,1.295,1.146,1.242,1.295,1.356,1.432,-0.005,0.59,169.038,147.129,157.837,168.583,178.978,195.652,0.03,0.59,12.446,6.675,8.91,11.79,15.921,19.538,0.159,0.59,122.407,0.386,46.682,115.72,186.187,271.904,0.079,0.59
2070,41.943,36.141,38.824,41.362,44.516,49.689,0.137,0.04,36.441,33.33,35.3,36.473,37.688,39.327,-0.017,0.04,21.6,14.936,19.596,22.131,24.077,26.322,-0.154,0.04,2.564,1.276,1.981,2.463,3.041,4.147,0.113,0.04,1.376,1.271,1.338,1.388,1.42,1.453,-0.208,0.04,141.878,127.443,133.681,140.264,149.161,161.426,0.151,0.04,18.402,14.522,17.632,18.926,19.855,19.979,-0.288,0.04,145.458,85.852,126.328,145.083,165.563,205.064,0.011,0.04
2072,56.423,49.79,53.92,56.83,59.071,62.02,-0.107,16.97,33.403,29.121,31.791,33.376,35.072,37.581,0.011,16.97,10.164,6.207,8.211,9.652,11.832,15.604,0.18,16.97,3.562,0.818,2.646,3.497,4.334,6.591,0.038,16.97,1.272,1.156,1.218,1.27,1.333,1.389,0.039,16.97,174.119,154.51,165.522,174.447,182.751,193.064,-0.027,16.97,8.619,5.625,7.176,8.282,9.716,12.501,0.161,16.97,69.977,9.237,28.882,54.153,110.959,162.48,0.31,16.97
2073,58.24,51.099,55.618,58.23,60.823,65.536,0.002,13.71,32.249,27.429,30.517,32.404,34.069,36.687,-0.055,13.71,9.494,5.415,7.525,9.148,10.999,14.945,0.123,13.71,3.578,1.353,2.71,3.414,4.16,6.416,0.104,13.71,1.275,1.166,1.227,1.275,1.328,1.379,0.011,13.71,173.326,154.672,165.471,172.996,181.323,192.493,0.029,13.71,8.574,5.751,7.238,8.222,9.523,12.834,0.17,13.71,67.987,0.189,27.059,57.355,103.742,162.411,0.208,13.71
2074,51.871,40.044,47.958,52.764,56.394,60.863,-0.142,5.7,32.954,29.058,31.419,32.982,34.494,36.709,-0.012,5.7,15.17,8.181,11.397,14.124,18.264,25.113,0.201,5.7,3.559,1.258,2.369,3.437,4.311,6.325,0.067,5.7,1.341,1.197,1.284,1.344,1.409,1.471,-0.027,5.7,159.044,131.16,147.549,158.988,170.498,187.782,0.003,5.7,14.424,7.367,10.558,15.336,18.004,19.956,-0.215,5.7,154.451,17.442,84.803,165.388,218.658,277.607,-0.131,5.7
2078,58.328,51.743,55.947,58.335,60.862,64.685,-0.002,6.69,31.564,27.305,29.743,31.552,33.323,35.866,0.005,6.69,10.093,6.054,8.316,9.983,11.669,14.77,0.042,6.69,3.298,2.039,2.606,3.103,3.659,4.959,0.151,6.69,1.322,1.231,1.291,1.323,1.357,1.403,-0.021,6.69,168.733,153.861,162.168,168.813,174.938,184.777,-0.009,6.69,10.352,5.495,7.827,10.214,12.486,16.52,0.042,6.69,92.578,21.629,49.03,80.599,125.793,205.578,0.214,6.69
2079,57.492,53.891,56.285,57.396,58.465,61.175,0.043,0.03,30.772,29.373,29.636,30.425,31.332,32.964,0.25,0.03,11.802,9.309,10.784,11.618,12.762,15.55,0.1,0.03,3.163,2.079,2.674,2.974,3.457,4.389,0.178,0.03,1.385,1.336,1.363,1.389,1.408,1.426,-0.129,0.03,157.88,149.343,153.614,158.333,160.898,170.538,-0.07,0.03,14.221,11.854,13.35,14.098,15.368,16.458,0.083,0.03,162.634,113.792,139.323,158.534,187.83,212.08,0.129,0.03
2081,36.634,31.211,33.492,36.207,39.657,43.229,0.112,11.52,38.624,35.134,37.298,38.676,40.145,41.458,-0.026,11.52,24.723,20.843,22.787,24.904,26.491,28.644,-0.074,11.52,3.096,1.717,2.151,2.733,4.024,5.172,0.318,11.52,1.39,1.329,1.372,1.389,1.412,1.446,0.022,11.52,139.776,130.094,137.222,140.494,142.305,148.999,-0.136,11.52,19.816,19.041,19.736,19.926,19.963,19.993,-0.295,11.52,183.49,138.131,160.668,180.908,205.141,238.235,0.084,11.52
2082,39.802,33.073,37.71,40.261,42.249,45.026,-0.131,7.11,37.157,34.095,35.797,37.058,38.473,40.54,0.051,7.11,23.025,19.617,21.291,22.639,24.524,27.513,0.16,7.11,2.071,1.144,1.548,1.813,2.207,4.314,0.283,7.11,1.454,1.364,1.418,1.459,1.499,1.524,-0.099,7.11,131.658,121.251,126.99,130.935,137.763,143.058,0.095,7.11,19.928,19.419,19.914,19.943,19.971,19.994,-0.059,7.11,197.306,152.152,179.843,197.182,215.487,240.341,0.005,7.11
2084,44.133,34.214,39.833,44.726,48.239,52.827,-0.102,1.91,35.598,31.481,33.955,35.635,37.278,39.529,-0.015,1.91,20.286,13.7,17.052,19.766,23.506,27.848,0.117,1.91,3.599,1.714,2.68,3.473,4.377,5.802,0.093,1.91,1.253,1.068,1.174,1.237,1.341,1.451,0.144,1.91,165.239,129.279,145.774,167.407,181.739,205.308,-0.092,1.91,14.487,6.557,9.77,15.806,18.185,19.958,-0.286,1.91,128.93,1.779,66.881,137.775,185.365,241.121,-0.117,1.91
2085,46.088,36.111,40.346,45.664,50.721,58.852,0.06,7.98,34.91,30.041,33.085,35.064,36.879,39.307,-0.054,7.98,18.995,9.771,15.38,19.579,23.008,26.323,-0.114,7.98,3.111,1.18,2.03,2.864,3.846,5.662,0.152,7.98,1.373,1.217,1.314,1.371,1.45,1.505,0.017,7.98,146.388,123.966,132.229,143.778,156.435,179.129,0.151,7.98,16.125,6.72,14.221,17.59,19.917,19.983,-0.327,7.98,146.006,29.707,104.354,153.488,192.421,235.978,-0.12,7.98
